Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
0.357,-68,-96,-40
0.358,-76,-108,-42
0.359,-53,-100,-4
0.360,-79,-106,-51
0.361,-75,-101,-48
0.362,-69,-95,-42
0.363,-58,-89,-24
0.364,-71,-98,-43
0.365,-62,-88,-33
0.366,-60,-88,-29
0.367,-75,-99,-48
0.368,-43,-88,3
0.369,-61,-85,-36
0.370,-49,-81,-15
0.371,-55,-77,-31
0.372,-55,-77,-30
0.373,-34,-59,-6
0.374,-35,-59,-8
0.375,-30,-54,-4
0.376,-43,-78,-5
0.377,-48,-83,-8
0.378,-32,-69,4
0.379,-53,-76,-28
0.380,-59,-82,-32
0.381,-71,-92,-47
0.382,-50,-74,-22
0.383,-62,-82,-37
0.384,-58,-81,-32
0.385,-36,-62,-7
0.386,-28,-73,10
0.387,-39,-69,-6
0.388,-64,-85,-39
0.389,-44,-67,-18
0.390,-30,-54,-3
0.391,-38,-64,-9
0.392,-35,-68,1
0.393,-35,-65,0
0.394,-35,-63,-2
0.395,-23,-59,8
0.396,-38,-83,6
0.397,4,-22,17
0.398,-12,-45,11
0.399,8,-17,20
0.400,5,-18,16
0.401,7,-14,18
0.402,10,-11,21
0.403,4,-23,18
0.404,0,-32,14
0.405,7,-15,19
0.406,8,-11,19
0.407,7,-16,19
0.408,-23,-55,8
0.409,4,-19,16
0.410,7,-12,17
0.411,-6,-32,10
0.412,2,-23,15
0.413,-6,-31,9
0.414,-22,-46,3
0.415,-28,-59,4
0.416,-44,-68,-16
0.417,-30,-52,-5
0.418,-28,-63,6
0.419,-37,-60,-12
0.420,-25,-57,5
0.421,-46,-102,9
0.422,-29,-65,5
0.423,-8,-48,15
0.424,4,-47,25
0.425,-51,-98,1
0.426,-98,-132,-61
0.427,3,-37,20
0.428,-77,-121,-32
0.429,-124,-161,-86
0.430,-131,-158,-104
0.431,-146,-174,-118
0.432,-148,-178,-117
0.433,-127,-157,-97
0.434,-147,-179,-115
0.435,-139,-167,-112
0.436,-131,-159,-103
0.437,-113,-138,-89
0.438,-117,-142,-92
0.439,-129,-156,-101
0.440,-108,-150,-66
0.441,-118,-142,-93
0.442,-118,-143,-92
0.443,-112,-137,-87
0.444,-92,-121,-63
0.445,-85,-113,-55
0.446,-94,-119,-68
0.447,-62,-112,-10
0.448,-87,-113,-60
0.449,-86,-112,-58
0.450,-87,-118,-56
0.451,-69,-100,-37
0.452,-75,-108,-41
0.453,-61,-91,-30
0.454,-74,-115,-32
0.455,-51,-79,-23
0.456,-42,-72,-11
0.457,-67,-108,-25
0.458,-62,-90,-32
0.459,-49,-86,-10
0.460,-55,-85,-24
0.461,-51,-81,-19
0.462,-34,-65,-2
0.463,-50,-80,-19
0.464,-21,-77,16
0.465,-46,-71,-19
0.466,-43,-67,-17
0.467,-47,-73,-19
0.468,-42,-79,-3
0.469,-44,-79,-8
0.470,-29,-67,4
0.471,-18,-60,12
0.472,-34,-73,3
0.473,-28,-79,12
0.474,-45,-85,-3
0.475,-60,-84,-34
0.476,-64,-89,-38
0.477,-50,-76,-23
0.478,-67,-92,-40
0.479,-57,-96,-16
0.480,-47,-89,-2
0.481,-49,-76,-20
0.482,-41,-66,-15
0.483,-40,-66,-12
0.484,-19,-44,4
0.485,-40,-77,0
0.486,-31,-60,0
0.487,-17,-47,6
0.488,-4,-36,13
0.489,0,-28,13
0.490,-8,-41,12
0.491,-4,-42,15
0.492,1,-32,15
0.493,3,-25,16
0.494,-29,-102,20
0.495,-9,-36,9
0.496,3,-28,18
0.497,-9,-36,9
0.498,-58,-108,-1
0.499,-26,-52,1
0.500,-25,-49,0
0.501,-35,-61,-8
0.502,-28,-51,-4
0.503,-22,-47,2
0.504,-26,-52,0
0.505,-25,-52,1
0.506,-25,-64,7
0.507,-35,-63,-5
0.508,-21,-57,7
0.509,-35,-60,-8
0.510,-43,-71,-14
0.511,-62,-88,-35
0.512,-76,-122,-27
0.513,-70,-95,-45
0.514,-63,-92,-32
0.515,-70,-96,-44
0.516,-63,-95,-29
0.517,-56,-85,-26
0.518,-54,-80,-27
0.519,-38,-67,-9
0.520,-40,-66,-14
0.521,-30,-60,0
0.522,-30,-70,5
0.523,-27,-53,0
0.524,5,-40,23
0.525,-6,-52,17
0.526,-16,-48,7
0.527,-36,-65,-7
0.528,-21,-51,4
0.529,-28,-56,1
0.530,-23,-51,2
0.531,-17,-79,19
0.532,-40,-68,-12
0.533,-30,-65,3
0.534,-42,-73,-11
0.535,-66,-102,-29
0.536,-90,-120,-59
0.537,-45,-101,7
0.538,-98,-127,-69
0.539,-78,-116,-39
0.540,-72,-117,-24
0.541,-97,-135,-57
0.542,-54,-103,-2
0.543,-98,-130,-64
0.544,-70,-117,-21
0.545,-89,-125,-51
0.546,-98,-137,-56
0.547,-93,-120,-65
0.548,-93,-121,-65
0.549,-90,-120,-60
0.550,-98,-125,-70
0.551,-78,-111,-42
0.552,-103,-128,-77
0.553,-83,-116,-49
0.554,-85,-109,-59
0.555,-77,-99,-54
0.556,-76,-99,-51
0.557,-79,-109,-47
0.558,-84,-118,-47
0.559,-70,-93,-46
0.560,-72,-105,-35
0.561,-65,-88,-40
0.562,-54,-82,-24
0.563,-77,-116,-34
0.564,-59,-85,-30
0.565,-41,-67,-13
0.566,-29,-57,1
0.567,-55,-79,-28
0.568,-59,-83,-33
0.569,-92,-124,-56
0.570,-48,-75,-18
0.571,-41,-70,-7
0.572,-5,-37,13
0.573,-18,-52,8
0.574,-12,-45,11
0.575,5,-14,16
0.576,-4,-32,11
0.577,6,-11,16
0.578,3,-21,15
0.579,9,-11,20
0.580,-35,-104,18
0.581,-35,-69,1
0.582,-63,-111,-6
