Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
2.170,-84,-108,-59
2.171,-82,-107,-56
2.172,-81,-107,-53
2.173,-79,-107,-50
2.174,-69,-96,-41
2.175,-59,-85,-32
2.176,-51,-79,-22
2.177,-43,-73,-12
2.178,-34,-66,0
2.179,-31,-66,3
2.180,-27,-65,6
2.181,-27,-60,4
2.182,-31,-60,-1
2.183,-28,-53,-1
2.184,-34,-65,0
2.185,-40,-78,0
2.186,-35,-78,5
2.187,-30,-78,9
2.188,-25,-78,13
2.189,-45,-84,-2
2.190,-64,-92,-35
2.191,-70,-100,-39
2.192,-79,-111,-45
2.193,-86,-120,-51
2.194,-82,-115,-48
2.195,-77,-108,-45
2.196,-80,-110,-49
2.197,-87,-114,-58
2.198,-91,-117,-64
2.199,-96,-124,-68
2.200,-101,-129,-71
2.201,-107,-134,-80
2.202,-112,-136,-87
2.203,-117,-139,-94
2.204,-110,-134,-85
2.205,-103,-129,-76
2.206,-103,-131,-74
2.207,-101,-131,-70
2.208,-103,-135,-69
2.209,-89,-118,-58
2.210,-71,-98,-44
2.211,-68,-93,-41
2.212,-63,-87,-38
2.213,-57,-81,-33
2.214,-51,-78,-22
2.215,-40,-73,-5
2.216,-52,-86,-17
2.217,-71,-104,-35
2.218,-82,-116,-45
2.219,-69,-102,-34
2.220,-62,-92,-30
2.221,-61,-92,-27
2.222,-54,-87,-18
2.223,-50,-85,-13
2.224,-41,-74,-6
2.225,-33,-64,0
2.226,-36,-69,-2
2.227,-39,-73,-3
2.228,-44,-79,-6
2.229,-39,-73,-2
2.230,-37,-70,-2
2.231,-42,-79,-4
2.232,-47,-87,-4
2.233,-51,-95,-5
2.234,-55,-94,-14
2.235,-59,-94,-23
2.236,-69,-103,-33
2.237,-78,-112,-43
2.238,-86,-120,-52
2.239,-102,-133,-69
2.240,-118,-148,-88
2.241,-112,-144,-79
2.242,-107,-142,-72
2.243,-102,-139,-64
2.244,-92,-131,-52
2.245,-83,-123,-40
2.246,-82,-118,-45
2.247,-80,-111,-49
2.248,-77,-104,-49
2.249,-76,-105,-48
2.250,-76,-106,-47
2.251,-73,-105,-40
2.252,-73,-107,-37
2.253,-70,-107,-31
2.254,-48,-83,-12
2.255,-25,-58,4
2.256,-21,-52,5
2.257,-17,-47,6
2.258,-13,-41,7
2.259,2,-28,15
2.260,8,-17,20
2.261,6,-20,19
2.262,5,-23,18
2.263,4,-24,17
2.264,-8,-39,10
2.265,-27,-55,2
2.266,-30,-57,-1
2.267,-32,-58,-5
2.268,-31,-56,-5
2.269,-53,-77,-28
2.270,-75,-98,-51
2.271,-66,-100,-30
2.272,-57,-104,-5
2.273,-48,-109,9
2.274,-87,-131,-40
2.275,-122,-151,-91
2.276,-119,-154,-81
2.277,-117,-158,-72
2.278,-114,-162,-62
2.279,-115,-156,-72
2.280,-121,-154,-86
2.281,-122,-151,-91
2.282,-121,-147,-94
2.283,-120,-143,-97
2.284,-112,-134,-88
2.285,-102,-125,-78
2.286,-94,-120,-68
2.287,-87,-115,-58
2.288,-81,-112,-49
2.289,-77,-108,-44
2.290,-69,-101,-34
2.291,-66,-96,-34
2.292,-59,-87,-29
2.293,-49,-76,-22
2.294,-39,-70,-6
2.295,-29,-65,4
2.296,-29,-68,6
2.297,-29,-72,7
2.298,-27,-74,10
2.299,-21,-73,14
2.300,-16,-73,17
2.301,-24,-69,10
2.302,-32,-65,1
2.303,-40,-64,-14
2.304,-54,-80,-27
2.305,-69,-96,-39
2.306,-60,-95,-22
2.307,-53,-96,-5
2.308,-46,-98,5
2.309,-70,-113,-22
2.310,-91,-126,-54
2.311,-89,-127,-49
2.312,-89,-130,-45
2.313,-91,-134,-44
2.314,-84,-118,-48
2.315,-84,-110,-57
2.316,-88,-115,-60
2.317,-92,-121,-62
2.318,-94,-124,-63
2.319,-97,-133,-58
2.320,-104,-148,-57
2.321,-98,-138,-55
2.322,-90,-126,-51
2.323,-87,-120,-53
2.324,-64,-94,-32
2.325,-40,-68,-10
2.326,-54,-91,-15
2.327,-70,-115,-21
2.328,-86,-140,-27
2.329,-72,-118,-21
2.330,-58,-97,-16
2.331,-64,-102,-23
2.332,-67,-104,-27
2.333,-74,-110,-35
2.334,-63,-98,-25
2.335,-58,-93,-21
2.336,-51,-82,-18
2.337,-41,-69,-11
2.338,-33,-58,-6
2.339,-15,-48,8
2.340,1,-40,17
2.341,-7,-43,13
2.342,-8,-40,10
2.343,-12,-40,7
2.344,-2,-31,12
2.345,0,-29,13
2.346,-9,-43,11
2.347,-16,-54,10
2.348,-22,-65,10
2.349,-48,-90,-4
2.350,-69,-110,-26
2.351,-76,-119,-30
2.352,-80,-125,-32
2.353,-87,-134,-37
2.354,-89,-137,-37
2.355,-92,-141,-39
2.356,-97,-140,-52
2.357,-106,-143,-68
2.358,-111,-142,-79
2.359,-99,-137,-58
2.360,-85,-132,-35
2.361,-82,-125,-37
2.362,-82,-120,-42
2.363,-79,-113,-44
2.364,-79,-112,-45
2.365,-84,-115,-52
2.366,-90,-120,-60
2.367,-95,-123,-66
2.368,-100,-127,-72
2.369,-96,-131,-60
2.370,-95,-138,-50
2.371,-81,-118,-42
2.372,-65,-98,-30
2.373,-54,-82,-24
2.374,-40,-77,-1
2.375,-22,-70,12
2.376,-24,-67,9
2.377,-27,-64,5
2.378,-27,-60,3
2.379,-23,-56,5
2.380,-20,-53,6
2.381,-11,-53,13
2.382,-6,-56,18
2.383,1,-57,22
2.384,-7,-59,17
2.385,-17,-60,12
2.386,-15,-54,11
2.387,-16,-51,9
2.388,-17,-48,6
2.389,-41,-72,-8
2.390,-66,-97,-33
2.391,-64,-103,-21
2.392,-61,-108,-8
2.393,-55,-112,4
2.394,-54,-110,4
2.395,-50,-107,6
2.396,-60,-108,-7
2.397,-70,-110,-28
2.398,-79,-111,-46
2.399,-76,-112,-37
2.400,-74,-114,-30
2.401,-76,-116,-33
2.402,-79,-118,-36
2.403,-81,-120,-40
2.404,-75,-111,-36
2.405,-66,-100,-29
2.406,-57,-91,-20
2.407,-50,-84,-13
2.408,-43,-77,-5
2.409,-28,-66,5
2.410,-12,-53,13
2.411,-23,-59,7
2.412,-31,-63,2
2.413,-40,-69,-10
2.414,-42,-70,-12
2.415,-42,-69,-12
2.416,-44,-75,-11
2.417,-34,-71,2
2.418,-30,-71,6
2.419,-46,-98,5
2.420,-62,-125,4
2.421,-67,-117,-12
2.422,-73,-111,-31
2.423,-76,-104,-47
2.424,-89,-125,-49
2.425,-100,-146,-49
2.426,-101,-153,-43
2.427,-104,-161,-40
2.428,-108,-170,-38
2.429,-123,-165,-78
2.430,-142,-166,-116
2.431,-150,-174,-125
2.432,-157,-181,-132
2.433,-164,-188,-139
2.434,-147,-177,-114
2.435,-126,-165,-83
2.436,-130,-164,-94
2.437,-135,-163,-106
2.438,-141,-164,-116
2.439,-123,-165,-76
2.440,-105,-171,-29
2.441,-114,-166,-56
2.442,-124,-162,-82
2.443,-133,-159,-106
2.444,-125,-153,-95
2.445,-116,-147,-83
2.446,-110,-140,-77
2.447,-102,-132,-70
2.448,-96,-126,-64
2.449,-85,-117,-51
2.450,-79,-113,-42
2.451,-77,-111,-40
2.452,-76,-110,-40
2.453,-75,-108,-40
2.454,-55,-92,-16
2.455,-34,-74,4
2.456,-34,-75,4
2.457,-34,-75,4
2.458,-37,-78,3
2.459,-28,-61,3
2.460,-20,-47,4
2.461,-13,-50,11
2.462,-2,-51,18
2.463,2,-57,24
2.464,-9,-51,14
2.465,-24,-49,1
2.466,-19,-50,6
2.467,-12,-50,11
2.468,-11,-56,15
2.469,-18,-56,9
2.470,-25,-56,4
2.471,-40,-79,1
2.472,-54,-102,-2
2.473,-69,-125,-6
2.474,-71,-113,-26
2.475,-72,-101,-42
2.476,-83,-115,-50
2.477,-93,-128,-56
2.478,-103,-142,-63
2.479,-100,-145,-51
2.480,-102,-154,-45
2.481,-114,-160,-63
2.482,-126,-167,-81
2.483,-133,-170,-94
2.484,-133,-170,-95
2.485,-133,-169,-95
2.486,-134,-170,-96
2.487,-133,-170,-94
2.488,-132,-169,-92
2.489,-122,-161,-81
2.490,-113,-152,-70
2.491,-92,-140,-41
2.492,-71,-128,-9
2.493,-50,-116,10
2.494,-60,-109,-7
2.495,-71,-104,-37
2.496,-71,-104,-38
2.497,-69,-102,-35
2.498,-67,-100,-33
2.499,-40,-74,-4
2.500,-13,-48,9
2.501,-21,-52,5
2.502,-26,-55,1
2.503,-35,-60,-9
2.504,-48,-75,-21
2.505,-60,-88,-33
2.506,-63,-94,-33
2.507,-65,-99,-31
2.508,-66,-103,-27
2.509,-76,-107,-45
2.510,-85,-110,-60
2.511,-68,-100,-35
2.512,-53,-94,-11
2.513,-39,-88,6
2.514,-63,-113,-10
2.515,-91,-141,-37
2.516,-109,-154,-61
2.517,-125,-167,-82
2.518,-141,-179,-102
2.519,-145,-176,-114
2.520,-151,-177,-126
2.521,-146,-174,-118
2.522,-146,-177,-115
2.523,-143,-177,-108
2.524,-147,-176,-118
2.525,-146,-170,-121
2.526,-143,-167,-118
2.527,-139,-164,-115
2.528,-137,-162,-113
2.529,-125,-157,-93
2.530,-117,-157,-75
2.531,-115,-150,-78
2.532,-113,-144,-81
2.533,-114,-140,-86
2.534,-115,-140,-90
2.535,-116,-139,-92
2.536,-100,-125,-74
2.537,-85,-112,-57
2.538,-74,-102,-44
2.539,-73,-113,-29
2.540,-72,-126,-12
2.541,-61,-107,-10
2.542,-49,-87,-8
2.543,-39,-69,-6
2.544,-25,-57,4
2.545,-14,-47,9
2.546,-8,-51,15
2.547,-2,-55,19
2.548,3,-57,24
2.549,-2,-45,16
2.550,-9,-36,8
2.551,-10,-40,9
2.552,-9,-42,11
2.553,-6,-43,13
2.554,-18,-55,9
2.555,-28,-65,5
2.556,-35,-83,8
2.557,-41,-102,11
2.558,-49,-122,14
2.559,-54,-109,4
2.560,-61,-100,-19
2.561,-64,-103,-21
2.562,-66,-105,-23
2.563,-70,-109,-27
2.564,-71,-101,-39
2.565,-74,-97,-51
2.566,-66,-93,-38
2.567,-57,-90,-22
2.568,-45,-85,-2
2.569,-54,-86,-20
2.570,-61,-86,-35
2.571,-60,-86,-32
2.572,-59,-87,-30
2.573,-61,-91,-31
2.574,-54,-89,-17
2.575,-47,-88,-2
2.576,-37,-83,6
2.577,-25,-76,13
2.578,-13,-70,18
2.579,-25,-81,15
2.580,-37,-93,10
2.581,-32,-80,8
2.582,-24,-64,8
2.583,-17,-49,7
2.584,-22,-52,3
2.585,-26,-53,1
2.586,-26,-60,4
2.587,-27,-69,7
2.588,-25,-76,13
2.589,-21,-73,14
2.590,-17,-69,15
2.591,-23,-68,10
2.592,-27,-66,6
2.593,-32,-65,1
2.594,-44,-84,-2
2.595,-57,-103,-6
2.596,-63,-103,-20
2.597,-68,-103,-32
2.598,-73,-102,-42
2.599,-92,-123,-59
2.600,-111,-145,-76
2.601,-103,-137,-67
2.602,-99,-134,-62
2.603,-94,-130,-57
2.604,-105,-137,-72
2.605,-116,-145,-87
2.606,-110,-141,-80
2.607,-106,-137,-73
2.608,-99,-132,-65
2.609,-102,-132,-71
2.610,-106,-133,-79
2.611,-99,-125,-74
2.612,-92,-116,-67
2.613,-83,-107,-60
2.614,-60,-93,-27
2.615,-37,-81,4
2.616,-43,-81,-2
2.617,-51,-84,-17
2.618,-62,-90,-34
2.619,-47,-74,-19
2.620,-31,-57,-4
2.621,-32,-59,-3
2.622,-29,-58,0
2.623,-30,-59,0
2.624,-20,-51,5
2.625,-10,-43,10
2.626,-11,-41,9
2.627,-11,-40,7
2.628,-13,-39,6
2.629,-10,-48,12
2.630,-7,-59,18
2.631,-18,-61,11
2.632,-35,-69,0
2.633,-47,-74,-19
2.634,-50,-77,-21
2.635,-51,-79,-21
2.636,-59,-91,-26
2.637,-62,-99,-24
2.638,-73,-114,-30
2.639,-76,-111,-40
2.640,-76,-106,-46
2.641,-78,-112,-43
2.642,-78,-117,-37
2.643,-77,-121,-31
2.644,-83,-126,-38
2.645,-91,-133,-47
2.646,-84,-135,-30
2.647,-81,-141,-15
2.648,-76,-145,1
2.649,-58,-111,0
2.650,-44,-80,-5
2.651,-28,-69,7
2.652,-13,-60,14
2.653,0,-52,20
2.654,-8,-50,14
2.655,-16,-49,8
2.656,-9,-45,12
2.657,0,-38,16
2.658,5,-32,20
2.659,-5,-45,15
2.660,-17,-55,10
2.661,-12,-49,11
2.662,-8,-43,12
2.663,-4,-38,12
2.664,-10,-45,11
2.665,-18,-55,9
2.666,-20,-60,10
2.667,-21,-66,11
2.668,-22,-72,13
2.669,-24,-72,11
2.670,-23,-70,11
2.671,-24,-72,11
2.672,-26,-75,11
2.673,-28,-78,11
2.674,-26,-71,9
2.675,-26,-65,6
2.676,-31,-66,2
2.677,-39,-70,-5
2.678,-42,-70,-12
2.679,-47,-77,-15
2.680,-52,-85,-18
2.681,-70,-100,-39
2.682,-85,-112,-57
2.683,-100,-124,-74
2.684,-105,-130,-79
2.685,-105,-130,-79
2.686,-104,-134,-74
2.687,-104,-138,-69
2.688,-104,-143,-63
2.689,-107,-153,-59
2.690,-112,-164,-55
2.691,-99,-148,-45
2.692,-85,-131,-36
2.693,-72,-115,-26
2.694,-77,-114,-38
2.695,-74,-106,-41
2.696,-75,-106,-42
2.697,-76,-107,-44
2.698,-75,-105,-45
2.699,-78,-107,-48
2.700,-83,-111,-54
2.701,-73,-110,-34
2.702,-64,-111,-13
2.703,-52,-110,5
2.704,-67,-113,-17
2.705,-81,-117,-44
2.706,-86,-121,-49
2.707,-93,-127,-57
2.708,-98,-131,-63
2.709,-95,-134,-54
2.710,-94,-138,-47
2.711,-88,-136,-36
2.712,-91,-142,-35
2.713,-95,-149,-36
2.714,-95,-148,-38
2.715,-95,-146,-39
2.716,-100,-150,-45
2.717,-103,-154,-49
2.718,-106,-156,-51
2.719,-99,-146,-48
2.720,-93,-138,-46
2.721,-98,-139,-53
2.722,-101,-141,-60
2.723,-104,-141,-65
2.724,-98,-129,-65
2.725,-89,-117,-62
2.726,-91,-119,-62
2.727,-88,-118,-58
2.728,-87,-119,-54
2.729,-79,-115,-43
2.730,-72,-111,-31
2.731,-68,-106,-29
2.732,-63,-99,-25
2.733,-57,-92,-21
2.734,-45,-81,-7
2.735,-34,-72,2
2.736,-19,-59,10
2.737,-2,-45,16
2.738,6,-30,21
2.739,6,-28,20
2.740,6,-26,19
2.741,7,-24,20
2.742,9,-20,22
2.743,11,-16,23
2.744,7,-24,20
2.745,3,-32,17
2.746,3,-29,16
2.747,3,-26,16
2.748,3,-24,15
2.749,3,-23,15
2.750,4,-22,16
2.751,3,-27,16
2.752,2,-33,17
2.753,1,-41,17
2.754,0,-36,15
2.755,-1,-31,12
2.756,-6,-36,10
2.757,-11,-40,8
2.758,-15,-44,6
2.759,-32,-72,4
2.760,-51,-104,3
2.761,-44,-95,5
2.762,-42,-90,5
2.763,-37,-84,5
2.764,-30,-73,7
2.765,-23,-63,8
2.766,-23,-62,7
2.767,-20,-58,8
2.768,-19,-56,8
2.769,-5,-54,17
2.770,3,-55,24
2.771,4,-52,24
2.772,4,-49,23
2.773,2,-51,21
2.774,2,-51,21
2.775,2,-51,21
2.776,2,-44,19
2.777,0,-40,16
2.778,-2,-36,14
2.779,1,-38,16
2.780,2,-42,18
2.781,1,-42,17
2.782,1,-40,17
2.783,2,-36,17
2.784,-4,-56,18
2.785,-13,-76,19
2.786,-15,-67,15
2.787,-16,-56,11
2.788,-18,-49,6
2.789,-21,-54,6
2.790,-21,-57,7
2.791,-25,-56,4
2.792,-32,-59,-3
2.793,-37,-61,-11
2.794,-48,-76,-19
2.795,-55,-87,-21
2.796,-60,-92,-24
2.797,-69,-102,-33
2.798,-76,-110,-40
2.799,-59,-99,-16
2.800,-42,-89,4
2.801,-67,-113,-16
2.802,-89,-134,-40
2.803,-109,-154,-61
2.804,-105,-148,-58
2.805,-101,-142,-56
2.806,-104,-139,-66
2.807,-106,-136,-74
2.808,-107,-132,-80
2.809,-103,-130,-74
2.810,-100,-129,-69
2.811,-97,-126,-65
2.812,-97,-127,-65
2.813,-95,-125,-62
2.814,-84,-109,-56
2.815,-72,-94,-49
2.816,-73,-96,-48
2.817,-71,-97,-44
2.818,-72,-100,-42
2.819,-71,-107,-33
2.820,-71,-114,-24
2.821,-53,-91,-11
2.822,-33,-66,2
2.823,-13,-43,8
2.824,-15,-44,6
2.825,-14,-42,7
2.826,-10,-42,9
2.827,-6,-41,12
2.828,-3,-42,15
2.829,-5,-41,13
2.830,-5,-38,12
2.831,-11,-46,10
2.832,-15,-53,10
2.833,-21,-61,9
2.834,-24,-68,10
2.835,-29,-79,10
2.836,-41,-80,1
2.837,-51,-81,-19
2.838,-61,-85,-37
2.839,-64,-89,-38
2.840,-68,-94,-40
2.841,-65,-93,-35
2.842,-63,-93,-32
2.843,-62,-93,-28
2.844,-54,-84,-22
2.845,-47,-75,-17
2.846,-54,-90,-16
2.847,-60,-105,-11
2.848,-67,-121,-6
2.849,-62,-107,-13
2.850,-59,-96,-20
2.851,-61,-101,-19
2.852,-64,-107,-18
2.853,-65,-112,-14
2.854,-51,-96,-3
2.855,-34,-76,5
2.856,-17,-60,12
2.857,0,-44,17
2.858,6,-29,21
2.859,1,-33,15
2.860,-12,-40,7
2.861,-11,-39,8
2.862,-9,-37,8
2.863,-6,-35,9
2.864,-15,-54,11
2.865,-23,-75,13
2.866,-24,-68,10
2.867,-24,-61,7
2.868,-23,-53,4
2.869,-37,-78,3
2.870,-50,-103,3
2.871,-46,-89,1
2.872,-42,-77,-3
2.873,-40,-68,-10
2.874,-59,-93,-22
2.875,-79,-120,-34
2.876,-76,-114,-35
2.877,-72,-107,-35
2.878,-68,-100,-33
2.879,-64,-99,-27
2.880,-62,-99,-22
2.881,-58,-96,-17
2.882,-55,-94,-13
2.883,-52,-92,-8
2.884,-55,-92,-15
2.885,-58,-91,-23
2.886,-58,-91,-23
2.887,-61,-94,-26
2.888,-63,-96,-28
2.889,-62,-97,-24
2.890,-58,-96,-16
2.891,-46,-90,1
2.892,-34,-84,9
2.893,-23,-80,15
2.894,-19,-72,15
2.895,-17,-66,14
2.896,-7,-54,16
2.897,0,-43,17
2.898,4,-31,18
2.899,0,-42,17
2.900,-7,-51,15
2.901,-5,-45,14
2.902,-5,-41,13
2.903,-1,-34,13
2.904,-3,-36,12
2.905,-5,-37,11
2.906,-9,-41,10
2.907,-11,-44,10
2.908,-14,-47,9
2.909,-23,-55,5
2.910,-31,-63,1
2.911,-31,-62,1
2.912,-28,-59,2
2.913,-28,-59,2
2.914,-31,-68,4
2.915,-34,-77,6
2.916,-27,-67,7
2.917,-21,-59,8
2.918,-14,-49,9
2.919,-29,-58,1
2.920,-43,-68,-18
2.921,-48,-74,-21
2.922,-50,-77,-22
2.923,-52,-81,-22
2.924,-59,-88,-28
2.925,-65,-95,-34
2.926,-57,-96,-15
2.927,-49,-99,2
2.928,-41,-103,11
2.929,-63,-109,-12
2.930,-84,-118,-49
2.931,-75,-109,-39
2.932,-65,-100,-27
2.933,-56,-92,-17
2.934,-49,-82,-13
2.935,-40,-71,-8
2.936,-32,-62,-2
2.937,-22,-50,3
2.938,-12,-39,7
2.939,1,-29,13
2.940,6,-20,18
2.941,5,-26,18
2.942,4,-30,18
2.943,4,-34,19
2.944,8,-22,21
2.945,12,-10,23
2.946,14,-4,24
2.947,16,2,26
2.948,18,5,27
2.949,18,4,28
2.950,18,3,28
2.951,15,1,25
2.952,13,-2,22
2.953,9,-8,18
2.954,7,-23,19
2.955,4,-40,21
2.956,-7,-52,16
2.957,-19,-60,10
2.958,-35,-72,2
2.959,-21,-56,7
2.960,-3,-36,12
2.961,-7,-39,10
2.962,-14,-44,8
2.963,-18,-47,5
2.964,-16,-48,8
2.965,-12,-48,11
2.966,-19,-52,7
2.967,-24,-55,3
2.968,-31,-60,-1
2.969,-37,-68,-4
2.970,-41,-75,-4
2.971,-42,-76,-6
2.972,-44,-78,-8
2.973,-47,-81,-12
2.974,-50,-83,-14
2.975,-52,-85,-17
2.976,-50,-87,-11
2.977,-46,-87,-2
2.978,-42,-87,3
2.979,-44,-94,5
2.980,-47,-102,6
2.981,-37,-94,10
2.982,-27,-86,15
2.983,-15,-76,18
2.984,-8,-62,18
2.985,-2,-49,17
2.986,1,-45,18
2.987,4,-37,20
2.988,6,-30,21
2.989,4,-33,19
2.990,2,-37,17
2.991,2,-37,17
2.992,1,-39,16
2.993,-2,-42,15
2.994,-2,-40,14
2.995,-5,-40,13
2.996,-12,-45,9
2.997,-19,-50,6
2.998,-26,-56,2
2.999,-34,-68,0
3.000,-43,-80,-5
3.001,-44,-83,-4
3.002,-42,-81,0
3.003,-48,-88,-5
3.004,-51,-92,-7
3.005,-52,-94,-7
3.006,-53,-93,-10
3.007,-55,-94,-15
3.008,-54,-91,-15
3.009,-55,-91,-18
3.010,-57,-91,-22
3.011,-54,-89,-19
3.012,-53,-87,-17
3.013,-52,-88,-16
3.014,-49,-85,-12
3.015,-47,-83,-9
3.016,-43,-78,-6
3.017,-39,-74,-3
3.018,-35,-69,0
3.019,-31,-65,2
3.020,-28,-61,3
3.021,-30,-64,2
3.022,-29,-64,3
3.023,-30,-67,3
3.024,-30,-68,4
3.025,-31,-70,4
3.026,-22,-66,10
3.027,-12,-63,15
3.028,-3,-60,20
3.029,3,-57,24
3.030,6,-55,27
3.031,7,-49,26
3.032,8,-44,26
3.033,8,-38,25
3.034,9,-32,24
3.035,10,-26,24
3.036,8,-26,22
3.037,7,-24,20
3.038,6,-22,19
3.039,5,-23,17
3.040,3,-23,15
3.041,-1,-32,13
3.042,-8,-39,10
3.043,-16,-47,7
3.044,-26,-57,3
3.045,-31,-62,1
3.046,-32,-64,1
3.047,-32,-64,1
3.048,-32,-64,1
3.049,-32,-65,1
3.050,-34,-67,0
3.051,-29,-63,3
3.052,-25,-60,5
3.053,-21,-58,7
3.054,-16,-54,10
3.055,-11,-51,12
3.056,-10,-52,13
3.057,-10,-54,14
3.058,-8,-53,15
3.059,-6,-54,16
3.060,-4,-54,18
3.061,-4,-55,18
3.062,-4,-56,18
3.063,-5,-58,18
3.064,-7,-61,18
3.065,-10,-65,17
3.066,-5,-58,18
3.067,-1,-53,19
3.068,1,-48,20
3.069,2,-46,20
3.070,3,-43,20
3.071,5,-39,21
3.072,8,-33,23
3.073,9,-29,24
3.074,12,-24,26
3.075,14,-19,27
3.076,13,-18,25
3.077,11,-19,23
3.078,9,-19,21
3.079,8,-19,20
3.080,7,-17,18
3.081,6,-20,18
3.082,7,-18,19
3.083,8,-17,20
3.084,9,-16,21
3.085,10,-16,22
3.086,9,-18,21
3.087,9,-18,21
3.088,7,-21,19
3.089,6,-23,19
3.090,4,-26,17
3.091,3,-30,17
3.092,1,-35,16
3.093,-1,-39,15
3.094,-4,-42,14
3.095,-6,-44,14
3.096,-9,-47,12
3.097,-12,-49,11
3.098,-15,-52,9
3.099,-18,-54,8
3.100,-22,-57,6
3.101,-19,-53,8
3.102,-16,-51,9
3.103,-14,-49,10
3.104,-11,-47,11
3.105,-6,-42,13
3.106,-2,-40,14
3.107,0,-38,15
3.108,2,-35,17
3.109,4,-33,18
3.110,5,-31,19
3.111,3,-35,18
3.112,2,-38,17
3.113,0,-42,16
3.114,-3,-45,15
3.115,-6,-48,14
3.116,-10,-51,13
3.117,-15,-56,11
3.118,-18,-58,10
3.119,-25,-65,7
3.120,-29,-69,5
3.121,-29,-65,4
3.122,-29,-62,2
3.123,-32,-61,-1
3.124,-30,-57,-2
3.125,-30,-55,-4
3.126,-35,-60,-9
3.127,-39,-64,-13
3.128,-41,-66,-15
3.129,-44,-69,-17
3.130,-49,-75,-23
3.131,-52,-78,-25
3.132,-54,-81,-25
3.133,-57,-85,-27
3.134,-58,-88,-27
3.135,-60,-91,-27
3.136,-56,-89,-22
3.137,-55,-89,-18
3.138,-53,-88,-15
3.139,-52,-89,-13
3.140,-51,-89,-10
3.141,-44,-86,1
3.142,-36,-82,6
3.143,-32,-82,9
3.144,-27,-81,13
3.145,-22,-80,16
3.146,-21,-81,16
3.147,-16,-78,18
3.148,-13,-78,20
3.149,-10,-77,21
3.150,-5,-75,23
3.151,1,-63,24
3.152,5,-50,24
3.153,9,-36,26
3.154,13,-21,27
3.155,16,-8,27
3.156,15,-8,27
3.157,15,-7,26
3.158,14,-9,25
3.159,14,-7,25
3.160,15,-4,25
3.161,14,-8,25
3.162,14,-11,25
3.163,13,-16,25
3.164,12,-20,25
3.165,11,-24,24
3.166,8,-27,22
3.167,6,-31,21
3.168,4,-33,19
3.169,2,-36,17
3.170,0,-38,15
3.171,1,-39,16
3.172,1,-39,17
3.173,2,-40,18
3.174,2,-42,19
3.175,3,-42,20
3.176,4,-39,21
3.177,5,-37,21
3.178,6,-36,22
3.179,7,-33,22
3.180,8,-30,23
3.181,8,-27,22
3.182,8,-23,21
3.183,7,-21,19
3.184,7,-19,18
3.185,6,-17,17
3.186,8,-15,19
3.187,10,-15,22
3.188,12,-15,24
3.189,14,-15,26
3.190,14,-18,27
3.191,13,-16,26
3.192,10,-20,23
3.193,7,-23,19
3.194,3,-28,16
3.195,-1,-32,13
3.196,3,-27,16
3.197,7,-24,19
3.198,9,-21,22
3.199,12,-20,25
3.200,14,-18,27
3.201,13,-20,27
3.202,13,-19,26
3.203,11,-23,25
3.204,10,-25,23
3.205,9,-25,23
3.206,9,-24,23
3.207,9,-24,23
3.208,9,-24,22
3.209,9,-24,22
3.210,10,-21,23
3.211,9,-18,22
3.212,8,-17,20
3.213,8,-16,19
3.214,7,-14,18
3.215,7,-12,17
3.216,7,-14,17
3.217,8,-14,18
3.218,8,-14,19
3.219,9,-15,20
3.220,9,-18,20
3.221,7,-20,19
3.222,6,-23,18
3.223,4,-25,17
3.224,2,-29,16
3.225,0,-34,14
3.226,0,-33,14
3.227,2,-30,15
3.228,4,-24,16
3.229,5,-22,17
3.230,5,-21,17
3.231,6,-18,18
3.232,6,-18,17
3.233,6,-17,17
3.234,6,-16,17
3.235,6,-16,16
3.236,9,-10,20
3.237,13,-4,23
3.238,16,0,26
3.239,18,2,29
3.240,20,2,32
3.241,19,2,31
3.242,19,2,30
3.243,18,1,28
3.244,17,1,27
3.245,16,1,26
3.246,15,1,25
3.247,14,-2,24
3.248,12,-6,22
3.249,10,-10,20
3.250,8,-12,19
3.251,9,-13,19
3.252,8,-15,19
3.253,7,-17,19
3.254,7,-20,19
3.255,4,-27,18
3.256,1,-32,15
3.257,-4,-38,12
3.258,-7,-38,11
3.259,-9,-39,9
3.260,-14,-42,7
3.261,-15,-48,8
3.262,-15,-54,11
3.263,-16,-62,14
3.264,-16,-69,16
3.265,-14,-76,19
3.266,-10,-73,20
3.267,-8,-71,21
3.268,-5,-70,22
3.269,-2,-68,23
3.270,1,-65,23
3.271,1,-59,22
3.272,-2,-56,19
3.273,-4,-52,17
3.274,-7,-48,14
3.275,-9,-45,11
3.276,-13,-48,9
3.277,-16,-50,8
3.278,-15,-49,8
3.279,-19,-52,7
3.280,-26,-58,3
3.281,-24,-56,5
3.282,-25,-59,4
3.283,-25,-59,5
3.284,-24,-59,5
3.285,-25,-61,5
3.286,-34,-71,2
3.287,-42,-79,-4
3.288,-50,-87,-11
3.289,-59,-96,-21
3.290,-69,-106,-30
3.291,-71,-109,-32
3.292,-74,-112,-34
3.293,-76,-116,-36
3.294,-81,-122,-39
3.295,-85,-126,-42
3.296,-83,-124,-40
3.297,-80,-121,-37
3.298,-77,-118,-34
3.299,-76,-116,-33
3.300,-74,-115,-32
3.301,-70,-109,-31
3.302,-64,-101,-26
3.303,-62,-97,-27
3.304,-60,-93,-26
3.305,-54,-86,-22
3.306,-48,-81,-15
