variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig
relative_humidity_01,relative_humidity_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_02,relative_humidity_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_03,relative_humidity_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_04,relative_humidity_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_05,relative_humidity_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_06,relative_humidity_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_07,relative_humidity_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_08,relative_humidity_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_09,relative_humidity_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_10,relative_humidity_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_11,relative_humidity_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_12,relative_humidity_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_01,wind_speed_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_02,wind_speed_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_03,wind_speed_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_04,wind_speed_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_05,wind_speed_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_06,wind_speed_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_07,wind_speed_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_08,wind_speed_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_09,wind_speed_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_10,wind_speed_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_11,wind_speed_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_12,wind_speed_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
mo_npp_01,mo_npp_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_02,mo_npp_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_03,mo_npp_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_04,mo_npp_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_05,mo_npp_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_06,mo_npp_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_07,mo_npp_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_08,mo_npp_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_09,mo_npp_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_10,mo_npp_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_11,mo_npp_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
mo_npp_12,mo_npp_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,,
bio01,bio01,Krapp2021,FALSE,Krapp2021_bio01_v1.0.0.nc,https://figshare.com/ndownloader/files/35076685,bio01_800ka.nc,https://osf.io/a39gh/?action=download
bio04,bio04,Krapp2021,FALSE,Krapp2021_bio04_v1.0.0.nc,https://figshare.com/ndownloader/files/35076688,bio04_800ka.nc,https://osf.io/p82ue/?action=download
bio05,bio05,Krapp2021,FALSE,Krapp2021_bio05_v1.0.0.nc,https://figshare.com/ndownloader/files/35076691,bio05_800ka.nc,https://osf.io/emhp9/?action=download
bio06,bio06,Krapp2021,FALSE,Krapp2021_bio06_v1.0.0.nc,https://figshare.com/ndownloader/files/35076694,bio06_800ka.nc,https://osf.io/cm923/?action=download
bio07,bio07,Krapp2021,FALSE,Krapp2021_bio07_v1.0.0.nc,https://figshare.com/ndownloader/files/35076697,bio07_800ka.nc,https://osf.io/prq8n/?action=download
bio08,bio08,Krapp2021,FALSE,Krapp2021_bio08_v1.0.0.nc,https://figshare.com/ndownloader/files/35076700,bio08_800ka.nc,https://osf.io/7jsa8/?action=download
bio09,bio09,Krapp2021,FALSE,Krapp2021_bio09_v1.0.0.nc,https://figshare.com/ndownloader/files/35127502,bio09_800ka.nc,https://osf.io/zaxku/?action=download
bio10,bio10,Krapp2021,FALSE,Krapp2021_bio10_v1.0.0.nc,https://figshare.com/ndownloader/files/35127403,bio10_800ka.nc,https://osf.io/b3kx8/?action=download
bio11,bio11,Krapp2021,FALSE,Krapp2021_bio11_v1.0.0.nc,https://figshare.com/ndownloader/files/35127406,bio11_800ka.nc,https://osf.io/vaune/?action=download
bio12,bio12,Krapp2021,FALSE,Krapp2021_bio12_v1.0.0.nc,https://figshare.com/ndownloader/files/35127412,bio12_800ka.nc,https://osf.io/kg9v6/?action=download
bio13,bio13,Krapp2021,FALSE,Krapp2021_bio13_v1.0.0.nc,https://figshare.com/ndownloader/files/35127415,bio13_800ka.nc,https://osf.io/2u5c6/?action=download
bio14,bio14,Krapp2021,FALSE,Krapp2021_bio14_v1.0.0.nc,https://figshare.com/ndownloader/files/35127421,bio14_800ka.nc,https://osf.io/z2ewu/?action=download
bio15,bio15,Krapp2021,FALSE,Krapp2021_bio15_v1.0.0.nc,https://figshare.com/ndownloader/files/35127463,bio15_800ka.nc,https://osf.io/z52xr/?action=download
bio16,bio16,Krapp2021,FALSE,Krapp2021_bio16_v1.0.0.nc,https://figshare.com/ndownloader/files/35127466,bio16_800ka.nc,https://osf.io/kn8ma/?action=download
bio17,bio17,Krapp2021,FALSE,Krapp2021_bio17_v1.0.0.nc,https://figshare.com/ndownloader/files/35127469,bio17_800ka.nc,https://osf.io/2z8ej/?action=download
bio18,bio18,Krapp2021,FALSE,Krapp2021_bio18_v1.0.0.nc,https://figshare.com/ndownloader/files/35127481,bio18_800ka.nc,https://osf.io/a2uhm/?action=download
bio19,bio19,Krapp2021,FALSE,Krapp2021_bio19_v1.0.0.nc,https://figshare.com/ndownloader/files/35127487,bio19_800ka.nc,https://osf.io/3mbd9/?action=download
npp,npp,Krapp2021,FALSE,Krapp2021_npp_v1.0.0.nc,https://figshare.com/ndownloader/files/35127493,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download
biome,biome,Krapp2021,FALSE,Krapp2021_biome_v1.0.0.nc,https://figshare.com/ndownloader/files/35127490,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download
altitude,altitude,Krapp2021,FALSE,Krapp2021_topography_v1.0.0.nc,https://figshare.com/ndownloader/files/35127499,,
rugosity,rugosity,Krapp2021,FALSE,Krapp2021_topography_v1.0.0.nc,https://figshare.com/ndownloader/files/35127499,,
temperature_01,temp_01,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_02,temp_02,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_03,temp_03,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_04,temp_04,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_05,temp_05,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_06,temp_06,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_07,temp_07,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_08,temp_08,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_09,temp_09,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_10,temp_10,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_11,temp_11,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
temperature_12,temp_12,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,,,
precipitation_01,prec_01,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_02,prec_02,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_03,prec_03,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_04,prec_04,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_05,prec_05,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_06,prec_06,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_07,prec_07,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_08,prec_08,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_09,prec_09,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_10,prec_10,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_11,prec_11,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
precipitation_12,prec_12,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,,,
mo_npp_01,mo_npp_01,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_02,mo_npp_02,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_03,mo_npp_03,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_04,mo_npp_04,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_05,mo_npp_05,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_06,mo_npp_06,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_07,mo_npp_07,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_08,mo_npp_08,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_09,mo_npp_09,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_10,mo_npp_10,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_11,mo_npp_11,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
mo_npp_12,mo_npp_12,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,,,
tcc_01,tcc_01,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_02,tcc_02,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_03,tcc_03,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_04,tcc_04,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_05,tcc_05,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_06,tcc_06,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_07,tcc_07,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_08,tcc_08,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_09,tcc_09,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_10,tcc_10,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_11,tcc_11,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
tcc_12,tcc_12,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,,,
