variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig,version
precipitation_02,precipitation_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_03,precipitation_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_04,precipitation_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_05,precipitation_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_06,precipitation_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_07,precipitation_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_08,precipitation_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_09,precipitation_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_10,precipitation_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_11,precipitation_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
precipitation_12,precipitation_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
